__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.664460,,,,1778092886.664349794,0.692765163,-1.044659018,-0.830519905,-0.326231457
1778092886.665436,-6.265915755,0.722976378,0.000000000,,,,,
1778092886.665450,,,,1778092886.665368795,0.691648827,-1.051312481,-0.830865498,-0.325463764
1778092886.666378,-6.271984887,0.748757797,0.000000000,,,,,
1778092886.666393,,,,1778092886.666279793,0.690683626,-1.057039537,-0.831162061,-0.324780061
1778092886.667406,-6.277195691,0.770894655,0.000000000,,,,,
1778092886.667444,,,,1778092886.667263985,0.689652315,-1.063128869,-0.831476395,-0.324032238
1778092886.668459,-6.282735523,0.794422142,0.000000000,,,,,
1778092886.668524,,,,1778092886.668320656,0.688526842,-1.069738935,-0.831816430,-0.323196426
1778092886.669335,-6.288749672,0.819955800,0.000000000,,,,,
1778092886.669353,,,,1778092886.669250011,0.687514173,-1.075659415,-0.832119973,-0.322424487
1778092886.670428,-6.294124676,0.842778834,0.000000000,,,,,
1778092886.670441,,,,1778092886.670357227,0.686307086,-1.082676798,-0.832478400,-0.321484864
1778092886.671355,-6.300502513,0.869848810,0.000000000,,,,,
1778092886.671371,,,,1778092886.671272278,0.685335049,-1.088304199,-0.832764846,-0.320707944
1778092886.672584,-6.305598944,0.891489856,0.000000000,,,,,
1778092886.672604,,,,1778092886.672347546,0.684202605,-1.094826452,-0.833095619,-0.319785823
1778092886.673554,-6.311510129,0.916584279,0.000000000,,,,,
1778092886.673600,,,,1778092886.673354626,0.683087289,-1.101218762,-0.833418559,-0.318857505
1778092886.674579,-6.317296189,0.941150888,0.000000000,,,,,
1778092886.674623,,,,1778092886.674439192,0.681944771,-1.107734421,-0.833746427,-0.317886802
1778092886.675410,-6.323189022,0.966173459,0.000000000,,,,,
1778092886.675428,,,,1778092886.675311327,0.680870475,-1.113833162,-0.834052131,-0.316954924
1778092886.676529,-6.328694697,0.989559683,0.000000000,,,,,
1778092886.676544,,,,1778092886.676428795,0.679658178,-1.120679240,-0.834393840,-0.315884466
1778092886.677434,-6.334876696,1.015818730,0.000000000,,,,,
1778092886.677449,,,,1778092886.677361012,0.678552542,-1.126894609,-0.834702788,-0.314887810
1778092886.678446,-6.340476104,1.039615132,0.000000000,,,,,
1778092886.678464,,,,1778092886.678359747,0.677431037,-1.133169817,-0.835013416,-0.313858897
1778092886.679346,-6.346123653,1.063623658,0.000000000,,,,,
1778092886.679365,,,,1778092886.679291725,0.676398279,-1.138924380,-0.835297143,-0.312894420
1778092886.680444,-6.351291892,1.085606340,0.000000000,,,,,
1778092886.680465,,,,1778092886.680327177,0.675250443,-1.145289791,-0.835609643,-0.311806401
1778092886.681372,-6.357008632,1.109927191,0.000000000,,,,,
1778092886.681390,,,,1778092886.681279659,0.674108254,-1.151594875,-0.835917811,-0.310705539
1778092886.682436,-6.362663558,1.133997053,0.000000000,,,,,
1778092886.682449,,,,1778092886.682363749,0.672820316,-1.158667415,-0.836261780,-0.309445023
1778092886.683410,-6.369007234,1.161006844,0.000000000,,,,,
1778092886.683426,,,,1778092886.683360577,0.671658425,-1.165019315,-0.836569239,-0.308287135
1778092886.684444,-6.374689054,1.185219173,0.000000000,,,,,
1778092886.684460,,,,1778092886.684352160,0.670488517,-1.171385966,-0.836875955,-0.307103410
1778092886.685457,-6.380376589,1.209471041,0.000000000,,,,,
1778092886.685473,,,,1778092886.685359478,0.669314568,-1.177745772,-0.837180867,-0.305897839
1778092886.686316,-6.386050130,1.233679758,0.000000000,,,,,
1778092886.686373,,,,1778092886.686249256,0.668266537,-1.183401315,-0.837450805,-0.304805281
1778092886.687341,-6.391082204,1.255171086,0.000000000,,,,,
1778092886.687408,,,,1778092886.687257290,0.667073105,-1.189811846,-0.837755275,-0.303546290
1778092886.688499,-6.396786223,1.279544022,0.000000000,,,,,
1778092886.688519,,,,1778092886.688358068,0.665793256,-1.196653356,-0.838078461,-0.302177788
1778092886.689388,-6.402869177,1.305554700,0.000000000,,,,,
1778092886.689436,,,,1778092886.689272881,0.664667624,-1.202646204,-0.838360145,-0.300955837
1778092886.690562,-6.408181149,1.328295010,0.000000000,,,,,
1778092886.690583,,,,1778092886.690443039,0.663292832,-1.209927564,-0.838700394,-0.299446549
1778092886.691416,-6.414640092,1.355960278,0.000000000,,,,,
1778092886.691433,,,,1778092886.691327572,0.662179219,-1.215803041,-0.838973534,-0.298204560
1778092886.692393,-6.419829957,1.378222492,0.000000000,,,,,
